fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2011-01-01,valle,cali (ct),sabado,05:30:00,san carlos e11,urbana,vias publicas,arma de fuego,a pie,a pie,21,femenino,soltero,colombia,estudiante,no reportado,superior,76001000
2011-01-01,valle,cali (ct),sabado,10:00:00,pizamos i e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,13,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,12:00:00,brisas de los alamos e2,urbana,vias publicas,no reportado,a pie,a pie,64,masculino,union libre,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,14:00:00,santa fe e8,urbana,vias publicas,arma de fuego,a pie,a pie,45,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,19:00:00,el vergel e13,urbana,vias publicas,contundentes,a pie,a pie,57,femenino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,21:00:00,diamante e13,urbana,vias publicas,arma blanca,a pie,a pie,20,masculino,soltero,colombia,empleado policial,policia,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,21:30:00,inv. cinta sardi e13,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,22:00:00,manuela beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,46,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-02,valle,cali (ct),domingo,14:00:00,las orquideas e14,urbana,vias publicas,no reportado,a pie,a pie,51,femenino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-02,valle,cali (ct),domingo,17:00:00,via la buitrera e18,rural,vias publicas,contundentes,a pie,a pie,39,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-03,valle,cali (ct),lunes,12:00:00,aguablanca e11,urbana,vias publicas,contundentes,a pie,a pie,45,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-03,valle,cali (ct),lunes,22:00:00,republica israel e16,urbana,vias publicas,no reportado,a pie,a pie,51,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-01-04,valle,cali (ct),martes,00:00:00,atanasio girardot e8,urbana,dentro de la vivienda,no reportado,a pie,a pie,51,femenino,casado,colombia,comerciante,no reportado,tecnico,76001000
2011-01-04,valle,cali (ct),martes,01:00:00,el limonar e17,urbana,casas de habitacion,no reportado,a pie,a pie,24,femenino,union libre,colombia,estudiante,no reportado,superior,76001000
2011-01-04,valle,cali (ct),martes,09:00:00,san luis ii e6,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,39,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-01-05,valle,cali (ct),miercoles,11:00:00,calimio desepaz e21,urbana,local comercial,contundentes,a pie,a pie,45,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-05,valle,cali (ct),miercoles,11:09:00,nueva tequendama e19,urbana,centro comercial,no reportado,a pie,a pie,61,femenino,viudo,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-06,valle,cali (ct),jueves,02:30:00,calimio desepaz e21,urbana,vias publicas,contundentes,a pie,a pie,16,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000
2011-01-06,valle,cali (ct),jueves,13:00:00,manantial e21,urbana,casas de habitacion,no reportado,a pie,a pie,37,femenino,separado,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-06,valle,cali (ct),jueves,20:48:00,los comuneros ii e13,urbana,vias publicas,no reportado,a pie,a pie,32,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-07,valle,cali (ct),viernes,12:50:00,la nueva base e8,urbana,vias publicas,no reportado,a pie,a pie,30,masculino,soltero,colombia,empleado policial,policia,tecnico,76001000
2011-01-07,valle,cali (ct),viernes,14:00:00,desepaz invicali e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,39,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2011-01-07,valle,cali (ct),viernes,22:30:00,manantial e21,urbana,casas de habitacion,no reportado,a pie,a pie,14,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-01-08,valle,cali (ct),sabado,14:00:00,alfonso lopez i e7,urbana,instalaciones de la policia,no reportado,a pie,a pie,23,masculino,union libre,colombia,empleado policial,no reportado,secundaria,76001000
2011-01-09,valle,cali (ct),domingo,02:00:00,antonio narino e16,urbana,vias publicas,arma de fuego,a pie,a pie,50,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-09,valle,cali (ct),domingo,15:00:00,terron colorado e1,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2011-01-09,valle,cali (ct),domingo,21:00:00,alfonso lopez iii e7,urbana,casas de habitacion,arma de fuego,a pie,a pie,42,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-10,valle,cali (ct),lunes,15:00:00,caney e17,urbana,casas de habitacion,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-10,valle,cali (ct),lunes,20:00:00,republica israel e16,urbana,vias publicas,no reportado,a pie,a pie,27,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2011-01-12,valle,cali (ct),miercoles,10:00:00,champagnat e19,urbana,casas de habitacion,no reportado,a pie,a pie,24,masculino,union libre,colombia,desempleado,no reportado,secundaria,76001000
2011-01-12,valle,cali (ct),miercoles,11:48:00,prados del sur e18,urbana,casas de habitacion,no reportado,a pie,a pie,26,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-12,valle,cali (ct),miercoles,16:00:00,el guabal e10,urbana,vias publicas,contundentes,a pie,a pie,28,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-14,valle,cali (ct),viernes,22:00:00,los guayacanes e5,urbana,casas de habitacion,arma de fuego,a pie,a pie,54,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-01-14,valle,cali (ct),viernes,22:00:00,los guayacanes e5,urbana,casas de habitacion,arma de fuego,a pie,a pie,62,masculino,union libre,colombia,independiente,no reportado,analfabeta,76001000
2011-01-15,valle,cali (ct),sabado,21:30:00,jose holguin garces e11,urbana,dentro de la vivienda,contundentes,a pie,a pie,38,masculino,soltero,colombia,empleado particular,abogado,superior,76001000
2011-01-15,valle,cali (ct),sabado,21:30:00,jose holguin garces e11,urbana,vias publicas,contundentes,a pie,a pie,33,femenino,soltero,colombia,empleado particular,no reportado,tecnologo,76001000
2011-01-17,valle,cali (ct),lunes,20:30:00,cementerio carabineros e20,urbana,casas de habitacion,no reportado,no reportado,a pie,44,femenino,union libre,colombia,ama de casa,no reportado,tecnico,76001000
2011-01-18,valle,cali (ct),martes,09:30:00,las orquideas e14,urbana,vias publicas,no reportado,a pie,a pie,42,femenino,soltero,no reportado,empleado particular,no reportado,primaria,76001000
2011-01-18,valle,cali (ct),martes,11:45:00,canaveralejo e20,urbana,vias publicas,no reportado,a pie,a pie,28,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-19,valle,cali (ct),miercoles,12:00:00,departamental e10,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,39,masculino,casado,colombia,independiente,no reportado,superior,76001000
2011-01-19,valle,cali (ct),miercoles,16:00:00,terron colorado e1,urbana,casas de habitacion,no reportado,a pie,a pie,34,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-01-19,valle,cali (ct),miercoles,17:00:00,los parques e5,urbana,,no reportado,a pie,a pie,52,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-01-19,valle,cali (ct),miercoles,23:00:00,los comuneros ii e13,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,50,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
2011-01-20,valle,cali (ct),jueves,17:15:00,union de vivienda popular e16,urbana,vias publicas,arma de fuego,a pie,a pie,33,masculino,union libre,no reportado,desempleado,no reportado,secundaria,76001000
2011-01-21,valle,cali (ct),viernes,12:00:00,ulpiano lloreda e13,urbana,casas de habitacion,no reportado,a pie,a pie,45,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-21,valle,cali (ct),viernes,18:30:00,canaveralejo guadalupe e19,urbana,vias publicas,arma de fuego,a pie,a pie,40,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-22,valle,cali (ct),sabado,13:30:00,,urbana,bancos,no reportado,a pie,a pie,30,masculino,union libre,colombia,empleado particular,no reportado,tecnico,76001000
2011-01-23,valle,cali (ct),domingo,04:00:00,,rural,vias publicas,no reportado,a pie,a pie,56,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-24,valle,cali (ct),lunes,08:25:00,tequendama e19,urbana,instalaciones judiciales,no reportado,a pie,a pie,46,masculino,union libre,colombia,independiente,abogado,superior,76001000
2011-01-24,valle,cali (ct),lunes,21:30:00,los guaduales e6,urbana,parques,no reportado,a pie,a pie,22,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-25,valle,cali (ct),martes,11:00:00,la fortaleza e11,urbana,casas de habitacion,no reportado,a pie,a pie,32,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-25,valle,cali (ct),martes,13:00:00,la rivera e5,urbana,oficinas,no reportado,a pie,a pie,46,masculino,casado,colombia,empleado policial,policia,secundaria,76001000
2011-01-25,valle,cali (ct),martes,23:01:00,ricardo balcazar e13,urbana,casas de habitacion,contundentes,a pie,a pie,20,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-01-26,valle,cali (ct),miercoles,10:00:00,manuela beltran e14,urbana,casas de habitacion,no reportado,a pie,a pie,37,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-26,valle,cali (ct),miercoles,14:30:00,cristobal colon e10,urbana,,no reportado,a pie,a pie,25,femenino,soltero,colombia,empleado salud,no reportado,tecnico,76001000
2011-01-26,valle,cali (ct),miercoles,16:30:00,el refugio e19,urbana,vias publicas,no reportado,a pie,a pie,17,femenino,soltero,colombia,estudiante,no reportado,superior,76001000
2011-01-26,valle,cali (ct),miercoles,19:00:00,colseguros andes e10,urbana,bomba de gasolina,contundentes,a pie,a pie,26,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-27,valle,cali (ct),jueves,00:00:00,sucre e9,urbana,vias publicas,no reportado,a pie,a pie,32,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
