fecha,departamento,municipio,dia,hora,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2012-01-01,valle,cali (ct),domingo,00:00:00,urbana,vias publicas,no reportado,a pie,a pie,32,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,10:30:00,urbana,vias publicas,no reportado,a pie,a pie,58,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,13:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,19:00:00,urbana,vias publicas,arma de fuego,a pie,a pie,42,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,20:30:00,urbana,vias publicas,no reportado,a pie,a pie,28,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,21:00:00,urbana,vias publicas,no reportado,a pie,a pie,45,masculino,union libre,colombia,desempleado,no reportado,tecnico,76001000
2012-01-02,valle,cali (ct),lunes,00:00:00,urbana,vias publicas,contundentes,a pie,a pie,35,masculino,casado,no reportado,empleado particular,abogado,superior,76001000
2012-01-02,valle,cali (ct),lunes,12:20:00,urbana,vias publicas,no reportado,a pie,a pie,33,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2012-01-02,valle,cali (ct),lunes,14:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,66,masculino,casado,colombia,empleado particular,medico,superior,76001000
2012-01-02,valle,cali (ct),lunes,15:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,63,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2012-01-03,valle,cali (ct),martes,09:00:00,urbana,vias publicas,no reportado,a pie,a pie,73,masculino,viudo,colombia,independiente,no reportado,secundaria,76001000
2012-01-03,valle,cali (ct),martes,11:00:00,urbana,vias publicas,no reportado,a pie,a pie,46,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-03,valle,cali (ct),martes,12:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,51,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2012-01-03,valle,cali (ct),martes,18:54:00,urbana,casas de habitacion,no reportado,a pie,a pie,51,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-03,valle,cali (ct),martes,20:00:00,urbana,vias publicas,no reportado,a pie,a pie,26,masculino,casado,colombia,empleado policial,policia,secundaria,76001000
2012-01-03,valle,cali (ct),martes,22:30:00,urbana,vias publicas,no reportado,a pie,a pie,33,masculino,soltero,colombia,independiente,no reportado,tecnico,76001000
2012-01-04,valle,cali (ct),miercoles,00:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,33,femenino,separado,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,00:00:00,urbana,vias publicas,no reportado,a pie,a pie,42,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2012-01-04,valle,cali (ct),miercoles,13:00:00,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,16:30:00,urbana,vias publicas,no reportado,a pie,a pie,26,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,20:30:00,urbana,vias publicas,no reportado,a pie,a pie,29,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,21:30:00,urbana,vias publicas,no reportado,a pie,a pie,21,masculino,casado,colombia,empleado policial,policia,tecnico,76001000
2012-01-06,valle,cali (ct),viernes,05:00:00,urbana,vias publicas,no reportado,a pie,a pie,67,masculino,union libre,no reportado,desempleado,no reportado,tecnico,76001000
2012-01-06,valle,cali (ct),viernes,15:23:00,urbana,casas de habitacion,arma de fuego,a pie,a pie,24,femenino,soltero,no reportado,desempleado,no reportado,tecnico,76001000
2012-01-06,valle,cali (ct),viernes,17:00:00,urbana,vias publicas,no reportado,a pie,a pie,34,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
