fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2018-01-01,valle,cali (ct),lunes,10:00:00,la hacienda e17,urbana,dentro de la vivienda,contundentes,a pie,a pie,34,femenino,soltero,colombia,comerciante,no reportada,secundaria,76001000
2018-01-01,valle,cali (ct),lunes,11:00:00,antonio narino e16,urbana,vias publicas,sin empleo de armas,a pie,a pie,42,femenino,union libre,colombia,empleado particular,,primaria,76001000
2018-01-01,valle,cali (ct),lunes,18:00:00,belisario caicedo e20,urbana,vias publicas,sin empleo de armas,a pie,a pie,48,masculino,union libre,colombia,empleado particular,,primaria,76001000
2018-01-01,valle,cali (ct),lunes,02:00:00,san luis e6,urbana,,contundentes,a pie,a pie,36,femenino,soltero,colombia,empleado particular,tecnico auxiliar de sistemas,tecnico,76001000
2018-01-02,valle,cali (ct),martes,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,42,masculino,soltero,,empleado particular,,primaria,76001000
2018-01-02,valle,cali (ct),martes,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,45,femenino,casado,colombia,empleado particular,,primaria,76001000
2018-01-02,valle,cali (ct),martes,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,55,masculino,casado,colombia,empleado particular,,primaria,76001000
2018-01-02,valle,cali (ct),martes,09:00:00,los comuneros i e15,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,35,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-02,valle,cali (ct),martes,14:00:00,la fortaleza e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,35,femenino,union libre,colombia,empleado particular,tecnico empresarial,tecnico,76001000
2018-01-02,valle,cali (ct),martes,17:00:00,prados de oriente e11,urbana,,sin empleo de armas,a pie,a pie,35,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,17:00:00,prados de oriente e11,urbana,,sin empleo de armas,a pie,a pie,39,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,13:00:00,los chorros e18,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,18,masculino,soltero,colombia,independiente,,primaria,76001000
2018-01-02,valle,cali (ct),martes,22:00:00,chiminangos i e5,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,35,masculino,casado,colombia,empleado particular,no reportada,tecnico,76001000
2018-01-02,valle,cali (ct),martes,01:30:00,lili e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,36,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-02,valle,cali (ct),martes,00:01:00,morichal de comfandi e15,urbana,vias publicas,sin empleo de armas,a pie,a pie,61,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-03,valle,cali (ct),miercoles,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,62,masculino,soltero,colombia,empleado particular,,primaria,76001000
2018-01-03,valle,cali (ct),miercoles,10:00:00,ciudad capri e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,primaria,76001000
2018-01-03,valle,cali (ct),miercoles,08:00:00,cgto pance e22,rural,casas de habitacion,sin empleo de armas,a pie,a pie,62,masculino,soltero,colombia,agricultor,,primaria,76001000
2018-01-03,valle,cali (ct),miercoles,12:30:00,ciudad cordoba e15,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,21,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-04,valle,cali (ct),jueves,19:00:00,las granjas e10,urbana,vias publicas,arma de fuego,pasajero vehiculo,a pie,21,masculino,soltero,colombia,estudiante,,superior,76001000
2018-01-04,valle,cali (ct),jueves,17:00:00,los lagos e13,urbana,vias publicas,arma de fuego,a pie,a pie,16,femenino,soltero,colombia,empleado particular,,primaria,76001000
2018-01-04,valle,cali (ct),jueves,18:00:00,miraflores e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,31,masculino,casado,colombia,empleado particular,trabajo social,superior,76001000
2018-01-05,valle,cali (ct),viernes,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,22,masculino,soltero,,empleado particular,,primaria,76001000
2018-01-05,valle,cali (ct),viernes,10:00:00,salomia e4,urbana,vias publicas,sin empleo de armas,a pie,a pie,32,masculino,soltero,colombia,empleado particular,,superior,76001000
2018-01-05,valle,cali (ct),viernes,10:00:00,terron colorado e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,38,femenino,divorciado,colombia,independiente,,tecnico,76001000
2018-01-05,valle,cali (ct),viernes,11:00:00,alfonso b. aragon e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,31,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-05,valle,cali (ct),viernes,18:00:00,manuela beltran e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,18,femenino,viudo,colombia,empleado particular,,primaria,76001000
2018-01-05,valle,cali (ct),viernes,09:30:00,san luis e6,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,45,masculino,casado,colombia,empleado particular,no reportada,tecnico,76001000
2018-01-05,valle,cali (ct),viernes,13:10:00,jose m. marroquin ii e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,39,femenino,union libre,colombia,empleado particular,,secundaria,76001000
2018-01-05,valle,cali (ct),viernes,23:40:00,marroquin i e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,27,femenino,union libre,colombia,independiente,,secundaria,76001000
2018-01-06,valle,cali (ct),sabado,10:00:00,san vicente e2,urbana,vias publicas,sin empleo de armas,a pie,a pie,32,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-06,valle,cali (ct),sabado,21:00:00,el poblado ii e13,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,44,femenino,soltero,colombia,independiente,,primaria,76001000
2018-01-06,valle,cali (ct),sabado,14:40:00,rodrigo lara bonilla e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,16,femenino,soltero,colombia,estudiante,no reportada,secundaria,76001000
2018-01-06,valle,cali (ct),sabado,22:59:00,los libertadores e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,19,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-07,valle,cali (ct),domingo,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,21,femenino,soltero,colombia,empleado particular,,primaria,76001000
2018-01-07,valle,cali (ct),domingo,10:00:00,alto napoles e18,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,45,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2018-01-07,valle,cali (ct),domingo,09:00:00,lourdes e18,urbana,vias publicas,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2018-01-07,valle,cali (ct),domingo,12:00:00,alfonso b. aragon e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,33,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,,femenino,union libre,,empleado particular,,primaria,76001000
2018-01-08,valle,cali (ct),lunes,10:00:00,el limonar e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,43,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,08:00:00,san benito e11,urbana,edificio,contundentes,a pie,a pie,29,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,08:00:00,san benito e11,urbana,edificio,contundentes,a pie,a pie,30,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,13:00:00,marroquin i e14,urbana,vias publicas,arma de fuego,a pie,a pie,34,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,09:30:00,simon bolivar e8,urbana,vias publicas,sin empleo de armas,a pie,a pie,42,masculino,union libre,colombia,independiente,,tecnico,76001000
2018-01-08,valle,cali (ct),lunes,06:30:00,manzanares e4,urbana,vias publicas,contundentes,a pie,a pie,26,masculino,soltero,colombia,independiente,,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,12:10:00,miraflores e19,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,50,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-08,valle,cali (ct),lunes,08:36:00,los naranjos i e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,41,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-09,valle,cali (ct),martes,00:00:00,villa del lago e13,urbana,casas de habitacion,contundentes,a pie,a pie,21,masculino,soltero,colombia,independiente,no reportada,primaria,76001000
2018-01-09,valle,cali (ct),martes,19:00:00,potrero grande e21,urbana,vias publicas,contundentes,a pie,a pie,49,femenino,soltero,colombia,desempleado,,primaria,76001000
2018-01-09,valle,cali (ct),martes,17:00:00,llano verde e15,urbana,vias publicas,sin empleo de armas,a pie,a pie,26,femenino,soltero,colombia,empleado particular,,primaria,76001000
2018-01-09,valle,cali (ct),martes,01:00:00,la base e8,urbana,vias publicas,contundentes,a pie,a pie,18,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-09,valle,cali (ct),martes,16:45:00,aguablanca e11,urbana,vias publicas,sin empleo de armas,a pie,a pie,39,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-10,valle,cali (ct),miercoles,00:00:00,cgto la leonera e1,urbana,vias publicas,sin empleo de armas,a pie,a pie,,masculino,soltero,,empleado particular,,primaria,76001000
2018-01-10,valle,cali (ct),miercoles,10:00:00,san judas tadeo ii e10,urbana,vias publicas,sin empleo de armas,a pie,a pie,17,masculino,soltero,colombia,empleado particular,no reportada,primaria,76001000
2018-01-10,valle,cali (ct),miercoles,10:00:00,san judas tadeo ii e10,urbana,vias publicas,sin empleo de armas,a pie,a pie,40,femenino,soltero,colombia,empleado particular,no reportada,primaria,76001000
