fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,descripcion_conducta,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane,
2010-01-01,valle,cali (ct),viernes,00:00:00,union de vivienda popular e16,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,30,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-01-01,valle,cali (ct),viernes,01:00:00,el pondaje e13,urbana,restaurantes,articulo 205. acceso carnal violento,no reportado,a pie,a pie,47,femenino,divorciado,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-01-01,valle,cali (ct),viernes,18:00:00,el trebol e8,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,no reportado,no reportado,13,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-02,valle,cali (ct),sabado,00:00:00,alto melendez  e18,urbana,casas de habitacion,articulo 211. actos sexuales con menor de 14 anos (circunstancias de agravacion),no reportado,no reportado,no reportado,9,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-02,valle,cali (ct),sabado,00:00:00,siloe e20,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,14,femenino,soltero,colombia,desempleado,no reportado,primaria,76001000,1.0
2010-01-02,valle,cali (ct),sabado,05:00:00,laureano gomez e15,urbana,casas de habitacion,articulo 210. acceso carnal o acto sexual abusivo con incapaz de resistir,no reportado,a pie,a pie,45,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-02,valle,cali (ct),sabado,20:00:00,union de vivienda popular e16,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,22,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-04,valle,cali (ct),lunes,00:00:00,calima e4,urbana,casas de habitacion,articulo 210 a. acoso sexual,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-04,valle,cali (ct),lunes,00:00:00,san marino e7,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,35,femenino,union libre,no reportado,independiente,no reportado,primaria,76001000,1.0
2010-01-05,valle,cali (ct),martes,17:00:00,el rodeo e12,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,15,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-06,valle,cali (ct),miercoles,08:00:00,el vergel e13,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,9,masculino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-01-06,valle,cali (ct),miercoles,14:30:00,santa fe e8,urbana,casas de habitacion,articulo 206. acto sexual violento,no reportado,a pie,a pie,32,femenino,soltero,colombia,comerciante,no reportado,secundaria,76001000,1.0
2010-01-07,valle,cali (ct),jueves,17:00:00,unid. bueno madrid e4,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,10,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-08,valle,cali (ct),viernes,17:00:00,fonaviemcali e6,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,no reportado,no reportado,16,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-01-09,valle,cali (ct),sabado,01:00:00,los libertadores e3,urbana,vias publicas,articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,arma blanca,a pie,a pie,18,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-10,valle,cali (ct),domingo,00:00:00,las palmas e18,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,desempleado,administrador hotelero,analfabeta,76001000,1.0
2010-01-10,valle,cali (ct),domingo,10:00:00,acueducto san antonio e3,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,21,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-10,valle,cali (ct),domingo,12:30:00,valle grande e21,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,6,masculino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-01-10,valle,cali (ct),domingo,17:00:00,alfonso b. aragon e14,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,4,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-01-11,valle,cali (ct),lunes,00:00:00,el poblado ii e13,urbana,vias publicas,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,11,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-11,valle,cali (ct),lunes,05:00:00,antonio narino e16,urbana,vias publicas,articulo 206. acto sexual violento,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-13,valle,cali (ct),miercoles,19:00:00,chiminangos i e5,urbana,vias publicas,articulo 210. acceso carnal o acto sexual abusivo con incapaz de resistir,no reportado,a pie,a pie,37,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-01-14,valle,cali (ct),jueves,21:00:00,el retiro e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,31,femenino,casado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-15,valle,cali (ct),viernes,00:00:00,ciudadela floralia e6,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,32,femenino,union libre,no reportado,independiente,no reportado,primaria,76001000,1.0
2010-01-15,valle,cali (ct),viernes,00:00:00,siloe e20,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,12,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-01-15,valle,cali (ct),viernes,05:00:00,santa clara e10,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,arma blanca,a pie,a pie,19,femenino,union libre,colombia,desempleado,no reportado,secundaria,76001000,1.0
2010-01-15,valle,cali (ct),viernes,11:00:00,ciudadela floralia e6,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-16,valle,cali (ct),sabado,17:00:00,inv. nueva ilusion e13,rural,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,40,femenino,soltero,colombia,independiente,no reportado,superior,76001000,1.0
2010-01-17,valle,cali (ct),domingo,21:00:00,tercer milenio e21,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,masculino,soltero,no reportado,ama de casa,no reportado,secundaria,76001000,1.0
2010-01-18,valle,cali (ct),lunes,11:00:00,el poblado i e13,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-18,valle,cali (ct),lunes,16:00:00,villa san marcos e14,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-19,valle,cali (ct),martes,13:00:00,chapinero e8,urbana,vias publicas,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,10,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-19,valle,cali (ct),martes,17:00:00,antonio narino e16,urbana,casas de habitacion,articulo 205. acceso carnal violento,contundentes,a pie,a pie,34,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-20,valle,cali (ct),miercoles,00:00:00,atanasio girardot e8,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,11,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-20,valle,cali (ct),miercoles,06:00:00,arboledas e2,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,26,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-01-20,valle,cali (ct),miercoles,09:00:00,ciudadela del rio e21,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,41,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-20,valle,cali (ct),miercoles,10:00:00,siloe e20,urbana,vias publicas,articulo 205. acceso carnal violento,arma de fuego,vehiculo,vehiculo,30,femenino,soltero,colombia,desempleado,no reportado,secundaria,76001000,1.0
2010-01-20,valle,cali (ct),miercoles,14:00:00,calimio desepaz e21,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-20,valle,cali (ct),miercoles,14:00:00,calimio desepaz e21,urbana,dentro de la vivienda,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-21,valle,cali (ct),jueves,16:00:00,el poblado ii e13,urbana,casas de habitacion,articulo 210 a. acoso sexual,no reportado,a pie,a pie,17,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000,1.0
2010-01-22,valle,cali (ct),viernes,00:00:00,jorge zawadsky e10,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,4,femenino,soltero,colombia,desempleado,no reportado,analfabeta,76001000,1.0
2010-01-23,valle,cali (ct),sabado,01:49:00,jose m. marroquin ii e14,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,a pie,a pie,45,femenino,soltero,no reportado,independiente,no reportado,superior,76001000,1.0
2010-01-23,valle,cali (ct),sabado,21:00:00,caney e17,urbana,vias publicas,articulo 208. acceso carnal abusivo con menor de 14 anos,no reportado,a pie,a pie,6,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-23,valle,cali (ct),sabado,21:00:00,caney e17,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,no reportado,femenino,no reportado,colombia,no reporta,no reportado,no reportado,76001000,1.0
2010-01-25,valle,cali (ct),lunes,14:00:00,puerto nuevo e7,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-26,valle,cali (ct),martes,00:00:00,cgto la voragine,rural,fincas y similares,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,31,femenino,union libre,colombia,independiente,no reportado,primaria,76001000,1.0
2010-01-27,valle,cali (ct),miercoles,10:30:00,diamante e13,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
