fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-01-01,valle,cali (ct),articulo 206. acto sexual violento,jueves,15:00:00,alfonso lopez i e7,urbana,dentro de la vivienda,contundentes,a pie,a pie,26,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-01-01,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,jueves,00:00:00,torres de confandi e5,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,,empleado particular,,primaria,76001000
2015-01-01,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,jueves,11:00:00,primero de mayo e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,32,masculino,soltero,,empleado particular,,secundaria,76001000
2015-01-01,valle,cali (ct),articulo 211. acceso carnal o acto sexual abusivo con incapaz de resistir (circunstancias agravacion,jueves,03:30:00,atanasio girardot e8,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,35,femenino,union libre,colombia,independiente,,secundaria,76001000
2015-01-02,valle,cali (ct),articulo 206. acto sexual violento,viernes,00:00:00,cristobal colon e10,urbana,vias publicas,sin empleo de armas,a pie,a pie,18,masculino,soltero,,empleado particular,,primaria,76001000
2015-01-02,valle,cali (ct),articulo 206. acto sexual violento,viernes,11:00:00,primitivo crespo e8,urbana,vias publicas,contundentes,a pie,a pie,17,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-01-02,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,15:00:00,guayaquil e9,urbana,vias publicas,contundentes,a pie,a pie,10,femenino,soltero,,estudiante,,primaria,76001000
2015-01-04,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,domingo,00:30:00,el gran limonar e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,11,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,00:00:00,sector la luisa e19,rural,casas de habitacion,sin empleo de armas,a pie,a pie,3,femenino,soltero,colombia,independiente,,analfabeta,76001000
2015-01-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,19:20:00,terron colorado e1,urbana,vias publicas,contundentes,a pie,a pie,3,femenino,soltero,colombia,estudiante,,analfabeta,76001000
2015-01-04,valle,cali (ct),articulo 218. pornografia con menores,domingo,17:00:00,mariano ramos e16,urbana,vias publicas,,a pie,a pie,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-01-05,valle,cali (ct),articulo 205. acceso carnal violento,lunes,19:15:00,,urbana,vias publicas,contundentes,a pie,a pie,32,femenino,soltero,colombia,independiente,,secundaria,76001000
2015-01-05,valle,cali (ct),articulo 206. acto sexual violento,lunes,17:00:00,el calvario e3,urbana,oficinas,contundentes,a pie,a pie,18,femenino,soltero,colombia,independiente,,secundaria,76001000
2015-01-05,valle,cali (ct),articulo 206. acto sexual violento,lunes,19:30:00,jorge isaacs e4,urbana,casas de habitacion,contundentes,a pie,a pie,44,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-01-06,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,00:00:00,la alianza e4,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,3,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2015-01-06,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,11:45:00,prados del sur e18,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-01-07,valle,cali (ct),articulo 205. acceso carnal violento,miercoles,21:00:00,vallado e15,urbana,vias publicas,sin empleo de armas,a pie,a pie,26,femenino,soltero,,empleado particular,,secundaria,76001000
2015-01-07,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,04:00:00,lili e17,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,11,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-01-08,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,jueves,19:00:00,san luis e6,urbana,vias publicas,sin empleo de armas,a pie,a pie,7,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-01-08,valle,cali (ct),articulo 210 a. acoso sexual,jueves,20:00:00,,urbana,vias publicas,sin empleo de armas,a pie,a pie,17,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-01-09,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,viernes,00:20:00,el poblado ii e13,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-01-09,valle,cali (ct),articulo 210 a. acoso sexual,viernes,12:00:00,diamante e13,urbana,peluqueria y similares,,a pie,a pie,22,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-01-11,valle,cali (ct),articulo 205. acceso carnal violento,domingo,16:00:00,prados del sur e18,urbana,dentro de la vivienda,contundentes,a pie,a pie,32,femenino,union libre,colombia,independiente,,secundaria,76001000
2015-01-11,valle,cali (ct),articulo 206. acto sexual violento,domingo,13:00:00,manuela beltran e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-01-11,valle,cali (ct),articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,domingo,15:00:00,el retiro e15,urbana,dentro de la vivienda,contundentes,a pie,a pie,30,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2015-01-11,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,domingo,00:00:00,inv. la florida e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,,empleado particular,,primaria,76001000
2015-01-11,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,domingo,10:00:00,la base e8,urbana,vias publicas,sin empleo de armas,a pie,a pie,9,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-01-11,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,16:00:00,cgto la voragine e22,rural,rios,escopolamina,a pie,a pie,12,femenino,soltero,colombia,estudiante,,secundaria,76001000
