fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2017-01-01,valle,cali (ct),domingo,00:00:00,siloe e20,urbana,dentro de la vivienda,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-01,valle,cali (ct),domingo,15:00:00,petecuy iii e6,urbana,dentro de la vivienda,contundentes,a pie,a pie,21,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2017-01-01,valle,cali (ct),domingo,17:00:00,el dorado e10,urbana,conjunto residencial,escopolamina,a pie,a pie,17,femenino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-01,valle,cali (ct),domingo,04:00:00,el limonar e17,urbana,dentro de la vivienda,,a pie,a pie,24,femenino,soltero,colombia,estudiante,,superior,76001000
2017-01-01,valle,cali (ct),domingo,00:00:00,san juan bosco e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,08:00:00,el calvario e3,urbana,"hoteles, residencias, y similares.",sin empleo de armas,a pie,a pie,12,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,00:10:00,alto jordan e18,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,empleado particular,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,16:00:00,jose m. marroquin ii e14,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,6,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,14:00:00,manuela beltran e14,urbana,dentro de la vivienda,contundentes,a pie,a pie,8,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,00:01:00,el poblado ii e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,10,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-01,valle,cali (ct),domingo,12:00:00,parcelaciones pance e22,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,17,masculino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-02,valle,cali (ct),lunes,22:00:00,simon bolivar e8,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-02,valle,cali (ct),lunes,17:00:00,los guaduales e6,urbana,casas de habitacion,contundentes,a pie,a pie,18,femenino,soltero,colombia,independiente,,secundaria,76001000
2017-01-02,valle,cali (ct),lunes,19:00:00,pizamos ii e21,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,9,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-03,valle,cali (ct),martes,18:00:00,miraflores e19,urbana,oficinas,contundentes,a pie,a pie,18,femenino,soltero,colombia,independiente,,secundaria,76001000
2017-01-03,valle,cali (ct),martes,13:30:00,los comuneros i e15,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,12,femenino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-03,valle,cali (ct),martes,08:00:00,lleras camargo e20,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,2,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2017-01-04,valle,cali (ct),miercoles,00:00:00,terron colorado e1,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,empleado particular,,primaria,76001000
2017-01-04,valle,cali (ct),miercoles,08:00:00,republica israel e16,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,5,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2017-01-04,valle,cali (ct),miercoles,20:00:00,santa elena e10,urbana,casas de habitacion,contundentes,a pie,a pie,3,masculino,soltero,colombia,estudiante,,analfabeta,76001000
2017-01-04,valle,cali (ct),miercoles,21:00:00,el poblado ii e13,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,3,femenino,soltero,colombia,independiente,,analfabeta,76001000
2017-01-04,valle,cali (ct),miercoles,21:30:00,aguablanca e11,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,3,masculino,soltero,colombia,desempleado,,analfabeta,76001000
2017-01-05,valle,cali (ct),jueves,08:24:00,calimio desepaz e21,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-05,valle,cali (ct),jueves,21:00:00,potrero grande e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,11,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-05,valle,cali (ct),jueves,00:00:00,ciudadela floralia e6,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,15,masculino,soltero,colombia,desempleado,,primaria,76001000
2017-01-06,valle,cali (ct),viernes,04:00:00,alfonso lopez i e7,urbana,lote baldio,arma blanca / cortopunzante,a pie,a pie,15,femenino,soltero,colombia,estudiante,,primaria,76001000
2017-01-06,valle,cali (ct),viernes,18:00:00,obrero e9,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,14,femenino,soltero,,estudiante,,secundaria,76001000
2017-01-07,valle,cali (ct),sabado,21:50:00,los guaduales e6,urbana,vias publicas,contundentes,a pie,a pie,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-07,valle,cali (ct),sabado,20:00:00,ciudad cordoba e15,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,estudiante,,secundaria,76001000
2017-01-08,valle,cali (ct),domingo,18:00:00,ciudad cordoba e15,urbana,dentro de la vivienda,contundentes,a pie,a pie,16,femenino,soltero,colombia,estudiante,,secundaria,76001000
