fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2012-01-01,valle,cali (ct),domingo,03:00:00,alfonso b. aragon e14,urbana,vias publicas,arma de fuego,a pie,a pie,58,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,04:40:00,laureano gomez e15,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,05:00:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,24,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,05:12:00,san juan bosco e3,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,32,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,05:35:00,el rodeo e12,urbana,vias publicas,arma blanca,a pie,a pie,26,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,05:40:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,union libre,colombia,desempleado,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,07:40:00,antonio narino e16,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,08:25:00,mariano ramos e16,urbana,vias publicas,arma de fuego,a pie,a pie,22,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,09:30:00,desepaz invicali e21,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,09:30:00,pueblo joven e20,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,09:30:00,pueblo joven e20,urbana,vias publicas,arma de fuego,a pie,a pie,46,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,13:35:00,brisas de mayo e20,urbana,vias publicas,arma blanca,a pie,a pie,36,masculino,union libre,colombia,independiente,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,14:10:00,la isla e4,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-01,valle,cali (ct),domingo,15:45:00,inv. brisas de comuneros  e15,urbana,vias publicas,arma blanca,a pie,a pie,19,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000
2012-01-01,valle,cali (ct),domingo,16:30:00,vipasa e2,urbana,vias publicas,arma de fuego,a pie,a pie,40,masculino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2012-01-02,valle,cali (ct),lunes,00:58:00,terron colorado e1,urbana,vias publicas,arma blanca,a pie,a pie,38,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-02,valle,cali (ct),lunes,08:48:00,valle del lili e17,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2012-01-02,valle,cali (ct),lunes,12:30:00,asturias e12,urbana,dentro de la vivienda,contundentes,a pie,a pie,44,femenino,union libre,colombia,empleado particular,no reportado,primaria,76001000
2012-01-02,valle,cali (ct),lunes,13:45:00,el rodeo e12,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-02,valle,cali (ct),lunes,18:00:00,el limonar e17,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,42,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2012-01-02,valle,cali (ct),lunes,19:30:00,,urbana,vias publicas,arma blanca,a pie,a pie,22,masculino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2012-01-02,valle,cali (ct),lunes,23:15:00,el rodeo e12,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-03,valle,cali (ct),martes,14:22:00,leon xiii e11,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,31,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2012-01-03,valle,cali (ct),martes,18:10:00,leon xiii e11,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-03,valle,cali (ct),martes,20:00:00,san cristobal e10,urbana,vias publicas,arma de fuego,a pie,a pie,33,femenino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,00:20:00,la rivera i e6,urbana,vias publicas,arma de fuego,a pie,a pie,17,femenino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,12:25:00,san pascual e3,urbana,,arma blanca,a pie,a pie,31,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,14:00:00,petecuy i e6,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2012-01-04,valle,cali (ct),miercoles,15:00:00,el vergel e13,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-04,valle,cali (ct),miercoles,16:58:00,jorge eliecer gaitan e6,urbana,vias publicas,arma de fuego,a pie,bicicleta,13,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000
2012-01-04,valle,cali (ct),miercoles,19:40:00,paz e13,urbana,cancha de futbol,arma de fuego,a pie,a pie,24,masculino,union libre,colombia,desempleado,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,13:25:00,san judas tadeo i e10,urbana,vias publicas,arma de fuego,a pie,a pie,30,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-05,valle,cali (ct),jueves,14:15:00,santa elena e10,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,64,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-05,valle,cali (ct),jueves,15:00:00,ciudad jardin e22,urbana,dentro de la vivienda,arma de fuego,conductor motocicleta,vehiculo,33,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,15:00:00,ciudad jardin e22,urbana,dentro de la vivienda,arma de fuego,conductor motocicleta,vehiculo,41,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,15:00:00,ciudad jardin e22,urbana,dentro de la vivienda,arma de fuego,conductor motocicleta,vehiculo,47,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,20:10:00,el dorado e10,urbana,supermercados,arma de fuego,conductor motocicleta,a pie,39,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,20:10:00,el dorado e10,urbana,supermercados,arma de fuego,conductor motocicleta,a pie,47,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,20:59:00,la nueva base e8,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,20:59:00,la nueva base e8,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2012-01-05,valle,cali (ct),jueves,21:30:00,el vergel e13,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2012-01-06,valle,cali (ct),viernes,10:00:00,sucre e9,urbana,vias publicas,arma de fuego,a pie,a pie,46,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-06,valle,cali (ct),viernes,14:25:00,el jardin e11,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,17,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-06,valle,cali (ct),viernes,18:05:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,27,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2012-01-06,valle,cali (ct),viernes,20:21:00,quintas del sol e14,urbana,vias publicas,arma de fuego,a pie,a pie,18,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2012-01-07,valle,cali (ct),sabado,10:00:00,pance e22,rural,vias publicas,arma de fuego,a pie,a pie,31,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-07,valle,cali (ct),sabado,18:00:00,vallado e15,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,28,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-07,valle,cali (ct),sabado,19:00:00,el troncal e8,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,39,masculino,union libre,colombia,ganadero,no reportado,secundaria,76001000
2012-01-08,valle,cali (ct),domingo,01:15:00,sucre e9,urbana,vias publicas,arma blanca,a pie,a pie,15,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-08,valle,cali (ct),domingo,20:20:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,18,masculino,separado,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-08,valle,cali (ct),domingo,21:40:00,mariano ramos e16,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2012-01-08,valle,cali (ct),domingo,22:50:00,el poblado i e13,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2012-01-08,valle,cali (ct),domingo,23:20:00,pizamos i e21,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-09,valle,cali (ct),lunes,00:30:00,ciudadela floralia e6,urbana,vias publicas,arma de fuego,a pie,a pie,29,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-09,valle,cali (ct),lunes,05:00:00,puertas del sol e14,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-09,valle,cali (ct),lunes,12:30:00,los lagos e13,urbana,dentro de la vivienda,arma blanca,a pie,a pie,25,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2012-01-10,valle,cali (ct),martes,12:20:00,el limonar e17,urbana,,arma de fuego,conductor motocicleta,a pie,48,masculino,union libre,colombia,empleado particular,no reportado,primaria,76001000
2012-01-11,valle,cali (ct),miercoles,19:45:00,el lido e19,urbana,semaforo,arma de fuego,conductor motocicleta,conductor motocicleta,23,masculino,casado,colombia,comerciante,no reportado,secundaria,76001000
