fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2016-01-01,valle,cali (ct),viernes,19:30:00,el poblado ii e13,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,06:00:00,jose m. marroquin ii e14,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,16:00:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,43,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,05:00:00,lleras camargo e20,urbana,vias publicas,arma de fuego,a pie,a pie,40,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,20:50:00,siloe e20,urbana,vias publicas,arma de fuego,a pie,a pie,30,masculino,soltero,colombia,independiente,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,07:00:00,puertas del sol e14,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,18,masculino,soltero,colombia,desempleado,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,12:30:00,mojica e15,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,union libre,colombia,empleado particular,,primaria,76001000
2016-01-01,valle,cali (ct),viernes,05:30:00,antonio narino e16,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,52,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,05:40:00,antonio narino e16,urbana,vias publicas,arma de fuego,a pie,a pie,33,masculino,soltero,colombia,independiente,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,06:45:00,laureano gomez e15,urbana,vias publicas,arma de fuego,a pie,a pie,21,masculino,soltero,colombia,independiente,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,02:55:00,alirio mora beltran e14,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,estudiante,,secundaria,76001000
2016-01-01,valle,cali (ct),viernes,09:38:00,las orquideas e14,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,30,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2016-01-02,valle,cali (ct),sabado,21:10:00,pizamos i e21,urbana,vias publicas,arma de fuego,a pie,a pie,26,masculino,soltero,colombia,desempleado,,secundaria,76001000
