fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2016-01-01,valle,cali (ct),viernes,22:00:00,colseguros andes e10,urbana,vias publicas,llave maestra,a pie,conductor vehiculo,50,masculino,divorciado,colombia,independiente,,secundaria,76001000,automovil,chevrolet,cruze,2011,plateado
2016-01-01,valle,cali (ct),viernes,09:00:00,,urbana,,llave maestra,a pie,a pie,54,masculino,union libre,colombia,comerciante,,secundaria,76001000,camioneta,chevrolet,luv tfr,1994,blanco
2016-01-01,valle,cali (ct),viernes,04:00:00,urbanizacion calimio e6,urbana,,llave maestra,a pie,a pie,28,femenino,soltero,colombia,empleado particular,,superior,76001000,automovil,mazda,323 nb,1996,verde
2016-01-01,valle,cali (ct),viernes,11:15:00,ciudadela confandi e17,urbana,vias publicas,llave maestra,a pie,a pie,25,masculino,union libre,colombia,empleado particular,,secundaria,76001000,automovil,mazda,323 ns,1988,abano
2016-01-02,valle,cali (ct),sabado,21:00:00,san antonio e3,urbana,vias publicas,llave maestra,a pie,a pie,29,masculino,soltero,colombia,estudiante,,superior,76001000,automovil,nissan,sentra b13,2010,gris
2016-01-04,valle,cali (ct),lunes,01:30:00,ciudadela floralia e6,urbana,vias publicas,llave maestra,a pie,a pie,25,femenino,soltero,colombia,independiente,,secundaria,76001000,automovil,mazda,626 lx,1989,oro
2016-01-04,valle,cali (ct),lunes,22:20:00,las quintas de don simon e17,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,18,masculino,soltero,colombia,independiente,,secundaria,76001000,automovil,kia,new soul ex,2016,blanco
2016-01-04,valle,cali (ct),lunes,12:05:00,primero de mayo e17,urbana,vias publicas,llave maestra,a pie,a pie,56,masculino,casado,colombia,empleado particular,,secundaria,76001000,automovil,chevrolet,samurai,1995,blanco
2016-01-04,valle,cali (ct),lunes,19:48:00,eucaristico e19,urbana,vias publicas,arma de fuego,a pie,conductor vehiculo,41,masculino,casado,colombia,empleado particular,contaduria,superior,76001000,camioneta,toyota,fortuner,2014,blanco
2016-01-05,valle,cali (ct),martes,22:00:00,santa anita e17,urbana,vias publicas,arma de fuego,a pie,a pie,46,femenino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,nissan,d22,2011,gris
2016-01-05,valle,cali (ct),martes,10:00:00,ciudad de los alamos e2,urbana,frente centro comercial,llave maestra,a pie,a pie,84,femenino,soltero,colombia,independiente,,primaria,76001000,automovil,renault,r 18 ts,1984,rojo
2016-01-05,valle,cali (ct),martes,12:00:00,villa del lago e13,urbana,vias publicas,llave maestra,a pie,a pie,66,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,mazda,323,1987,beige
2016-01-05,valle,cali (ct),martes,04:00:00,el sena e5,urbana,vias publicas,llave maestra,a pie,a pie,70,masculino,casado,colombia,independiente,,secundaria,76001000,automovil,kia,picanto lx,2010,blanco
2016-01-05,valle,cali (ct),martes,11:30:00,urb. ciudad jardin e22,urbana,vias publicas,llave maestra,a pie,a pie,63,masculino,casado,panama,independiente,,secundaria,76001000,camioneta,kia,new sportage lx,2015,blanco
2016-01-05,valle,cali (ct),martes,13:45:00,el cedro e19,urbana,vias publicas,arma de fuego,a pie,a pie,49,masculino,soltero,colombia,empleado particular,,secundaria,76001000,camioneta,audi,q7,2008,plata niquel
