fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,clase_empresa,codigo_dane
2010-01-01,valle,cali (ct),viernes,08:00:00,versalles e2,urbana,clinicas y similares,sin empleo de armas,conductor taxi,a pie,"clinicas, hospitales",76001000
2010-01-02,valle,cali (ct),sabado,12:30:00,departamental e10,urbana,almacenes,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-01-03,valle,cali (ct),domingo,02:15:00,el lido e19,urbana,oficinas,arma de fuego,a pie,a pie,empresas transporte publico,76001000
2010-01-03,valle,cali (ct),domingo,14:00:00,los cambulos e19,urbana,clinicas y similares,cortantes,a pie,a pie,consultorios medicos,76001000
2010-01-03,valle,cali (ct),domingo,15:00:00,las acacias e10,urbana,restaurantes,arma de fuego,a pie,a pie,restaurantes,76001000
2010-01-04,valle,cali (ct),lunes,00:00:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,"mataderos, carnicerias y similares",76001000
2010-01-04,valle,cali (ct),lunes,06:00:00,el limonar e17,urbana,oficinas,contundentes,a pie,a pie,oficinas,76001000
2010-01-06,valle,cali (ct),miercoles,21:05:00,,urbana,estaciones de servicio,arma de fuego,a pie,a pie,servicios,76001000
2010-01-07,valle,cali (ct),jueves,10:45:00,el troncal e8,urbana,oficinas,arma de fuego,a pie,a pie,"bodegas, depositos",76001000
2010-01-07,valle,cali (ct),jueves,16:00:00,ciudadela confandi e17,urbana,oficinas,contundentes,a pie,a pie,otra empreas comercial,76001000
2010-01-07,valle,cali (ct),jueves,16:25:00,,urbana,"droguerias, farmacias",arma de fuego,conductor motocicleta,a pie,droguerias y farmacias,76001000
2010-01-08,valle,cali (ct),viernes,00:00:00,versalles e2,urbana,clinicas y similares,sin empleo de armas,a pie,a pie,ministerio de salud,76001000
2010-01-08,valle,cali (ct),viernes,09:00:00,san luis e6,urbana,talleres,contundentes,a pie,a pie,otra empreas comercial,76001000
2010-01-09,valle,cali (ct),sabado,06:00:00,manuela beltran e14,urbana,"colegios, escuelas",cortantes,a pie,a pie,ministerio de educacion,76001000
2010-01-09,valle,cali (ct),sabado,09:00:00,ciudad jardin e22,urbana,oficinas,contundentes,a pie,a pie,oficinas,76001000
2010-01-09,valle,cali (ct),sabado,18:15:00,manzanares e4,urbana,oficinas,arma de fuego,a pie,a pie,almacenes,76001000
2010-01-11,valle,cali (ct),lunes,17:00:00,valle del lili e17,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-01-12,valle,cali (ct),martes,00:00:00,san pedro e3,urbana,almacenes,cortantes,a pie,a pie,bancos,76001000
2010-01-12,valle,cali (ct),martes,08:00:00,melendez e18,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-01-12,valle,cali (ct),martes,09:25:00,caldas e18,urbana,local comercial,cortantes,a pie,a pie,discotecas,76001000
2010-01-12,valle,cali (ct),martes,14:00:00,tequendama e19,urbana,"bares, cantinas y similares",sin empleo de armas,a pie,a pie,discotecas,76001000
2010-01-12,valle,cali (ct),martes,16:00:00,san pedro e3,urbana,oficinas,cortantes,a pie,a pie,oficinas,76001000
2010-01-13,valle,cali (ct),miercoles,05:40:00,san vicente e2,urbana,funeraria,arma de fuego,vehiculo,a pie,otra empreas comercial,76001000
2010-01-13,valle,cali (ct),miercoles,14:30:00,caney e17,urbana,oficinas,contundentes,a pie,a pie,servicios,76001000
2010-01-13,valle,cali (ct),miercoles,14:37:00,manuela beltran e14,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2010-01-14,valle,cali (ct),jueves,05:30:00,san nicolas e3,urbana,empresa,contundentes,a pie,a pie,otra empreas comercial,76001000
2010-01-14,valle,cali (ct),jueves,16:00:00,urb. militar e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-01-15,valle,cali (ct),viernes,06:35:00,santa teresita e2,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2010-01-15,valle,cali (ct),viernes,08:15:00,ciudadela confandi e17,urbana,universidades,sin empleo de armas,a pie,a pie,universidades,76001000
2010-01-15,valle,cali (ct),viernes,16:30:00,san pedro e3,urbana,bancos,sin empleo de armas,a pie,a pie,bancos,76001000
2010-01-16,valle,cali (ct),sabado,08:30:00,sucre e9,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,almacenes,76001000
2010-01-16,valle,cali (ct),sabado,20:45:00,calima e4,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,consultorios juridicos,76001000
2010-01-17,valle,cali (ct),domingo,13:00:00,villa del sur e11,urbana,"droguerias, farmacias",arma de fuego,conductor motocicleta,a pie,consultorios juridicos,76001000
2010-01-18,valle,cali (ct),lunes,00:00:00,ciudad universitaria e17,urbana,universidades,cortantes,a pie,a pie,universidades,76001000
2010-01-18,valle,cali (ct),lunes,12:00:00,la nueva base e8,urbana,estaciones de servicio,arma de fuego,a pie,a pie,bomba gasolina,76001000
2010-01-18,valle,cali (ct),lunes,16:00:00,,urbana,alcaldia,arma de fuego,a pie,a pie,servicios,76001000
2010-01-19,valle,cali (ct),martes,01:00:00,el piloto e3,urbana,oficinas,contundentes,a pie,a pie,almacenes,76001000
2010-01-19,valle,cali (ct),martes,20:45:00,el lido e19,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,servicios,76001000
2010-01-20,valle,cali (ct),miercoles,14:30:00,chapinero e8,urbana,supermercados,contundentes,a pie,a pie,supermercados,76001000
2010-01-22,valle,cali (ct),viernes,07:22:00,no reporta,urbana,universidades,cortantes,a pie,a pie,universidades,76001000
2010-01-23,valle,cali (ct),sabado,23:50:00,belalcazar e9,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2010-01-24,valle,cali (ct),domingo,08:20:00,belalcazar e9,urbana,bodegas y similares,cortantes,a pie,a pie,"bodegas, depositos",76001000
2010-01-24,valle,cali (ct),domingo,12:00:00,el lido e19,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-01-25,valle,cali (ct),lunes,02:00:00,marroquin i e14,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-01-25,valle,cali (ct),lunes,07:00:00,la floresta e8,urbana,supermercados,contundentes,a pie,a pie,supermercados,76001000
2010-01-25,valle,cali (ct),lunes,11:30:00,ciudadela floralia e6,urbana,clinicas y similares,cortantes,a pie,a pie,consultorios medicos,76001000
2010-01-26,valle,cali (ct),martes,19:20:00,cgto la buitrera e18,rural,"colegios, escuelas",arma de fuego,a pie,a pie,ministerio de educacion,76001000
2010-01-27,valle,cali (ct),miercoles,03:45:00,belisario caicedo e20,urbana,oficinas,contundentes,a pie,a pie,oficinas,76001000
2010-01-29,valle,cali (ct),viernes,06:40:00,santa rosa e3,urbana,oficinas,cortantes,a pie,a pie,fondos de ahorro,76001000
2010-01-29,valle,cali (ct),viernes,09:45:00,san pedro e3,urbana,oficinas,contundentes,a pie,a pie,consultorios juridicos,76001000
2010-01-29,valle,cali (ct),viernes,11:00:00,pance e22,urbana,oficinas,sin empleo de armas,a pie,a pie,universidades,76001000
2010-01-29,valle,cali (ct),viernes,11:30:00,la flora e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-01-29,valle,cali (ct),viernes,14:00:00,san nicolas e3,urbana,bodegas y similares,arma de fuego,conductor motocicleta,a pie,"bodegas, depositos",76001000
2010-01-30,valle,cali (ct),sabado,07:30:00,san juan bosco e3,urbana,almacenes,sin empleo de armas,a pie,a pie,fabricas,76001000
2010-01-30,valle,cali (ct),sabado,09:45:00,el piloto e3,urbana,almacenes,arma de fuego,conductor motocicleta,a pie,almacenes,76001000
2010-01-30,valle,cali (ct),sabado,20:00:00,los cambulos e19,urbana,almacenes,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-01,valle,cali (ct),lunes,05:00:00,guayaquil e9,urbana,local comercial,sin empleo de armas,a pie,a pie,oficinas,76001000
2010-02-01,valle,cali (ct),lunes,07:30:00,tequendama e19,urbana,consultorios medicos,sin empleo de armas,a pie,a pie,consultorios medicos,76001000
2010-02-01,valle,cali (ct),lunes,08:00:00,alameda e9,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-02-01,valle,cali (ct),lunes,08:30:00,miraflores e19,urbana,almacenes,cortantes,a pie,a pie,"clinicas, hospitales",76001000
2010-02-02,valle,cali (ct),martes,10:00:00,san nicolas e3,urbana,local comercial,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-02,valle,cali (ct),martes,12:30:00,villa san marcos e14,urbana,clinicas y similares,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-02-04,valle,cali (ct),jueves,10:30:00,tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-04,valle,cali (ct),jueves,16:00:00,terron colorado e1,urbana,corporaciones,sin empleo de armas,a pie,a pie,"colegios, escuelas",76001000
2010-02-05,valle,cali (ct),viernes,11:30:00,el refugio e19,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2010-02-05,valle,cali (ct),viernes,20:48:00,el lido e19,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-06,valle,cali (ct),sabado,14:00:00,santa monica residencial e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-02-06,valle,cali (ct),sabado,17:30:00,santa elena e10,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2010-02-07,valle,cali (ct),domingo,15:30:00,alameda e9,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,otra empreas comercial,76001000
