fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2015-01-01,valle,cali (ct),jueves,00:00:00,cristobal colon e10,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-01-02,valle,cali (ct),viernes,03:00:00,parcelaciones pance e22,rural,centro recreacional,sin empleo de armas,a pie,a pie,76001000
2015-01-02,valle,cali (ct),viernes,04:00:00,chipichape e2,urbana,almacenes,contundentes,a pie,a pie,76001000
2015-01-03,valle,cali (ct),sabado,10:30:00,calima e4,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-01-05,valle,cali (ct),lunes,19:30:00,flora industrial e4,urbana,oficinas,sin empleo de armas,a pie,a pie,76001000
2015-01-06,valle,cali (ct),martes,20:00:00,el limonar e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-06,valle,cali (ct),martes,08:22:00,ricardo balcazar e13,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-01-06,valle,cali (ct),martes,20:46:00,san joaquin e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-01-07,valle,cali (ct),miercoles,00:00:00,versalles e2,urbana,oficinas,contundentes,a pie,a pie,76001000
2015-01-09,valle,cali (ct),viernes,10:30:00,el ingenio e17,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-01-09,valle,cali (ct),viernes,21:45:00,prados de oriente e11,urbana,estaciones de servicio,contundentes,a pie,a pie,76001000
2015-01-09,valle,cali (ct),viernes,07:45:00,san pedro e3,urbana,almacenes,contundentes,a pie,a pie,76001000
2015-01-10,valle,cali (ct),sabado,08:00:00,ciudad universitaria e17,urbana,universidades,contundentes,a pie,a pie,76001000
2015-01-10,valle,cali (ct),sabado,19:30:00,,urbana,supermercados,contundentes,a pie,a pie,76001000
2015-01-10,valle,cali (ct),sabado,17:52:00,urb. tequendama e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-11,valle,cali (ct),domingo,19:45:00,el guabal e10,urbana,bomba de gasolina,arma blanca / cortopunzante,conductor motocicleta,a pie,76001000
2015-01-12,valle,cali (ct),lunes,00:00:00,olimpico e10,urbana,apartamento en conjunto cerrado,contundentes,a pie,a pie,76001000
2015-01-12,valle,cali (ct),lunes,16:00:00,jorge eliecer gaitan e6,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-01-12,valle,cali (ct),lunes,16:40:00,lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-12,valle,cali (ct),lunes,15:10:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-13,valle,cali (ct),martes,10:00:00,el cedro e19,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-01-14,valle,cali (ct),miercoles,18:00:00,,urbana,almacenes,contundentes,a pie,a pie,76001000
2015-01-14,valle,cali (ct),miercoles,12:20:00,los conquistadores e11,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-01-14,valle,cali (ct),miercoles,18:15:00,,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-01-15,valle,cali (ct),jueves,10:00:00,jose m. marroquin ii e14,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,76001000
2015-01-15,valle,cali (ct),jueves,20:00:00,porvenir e4,urbana,"droguerias, farmacias",sin empleo de armas,a pie,a pie,76001000
2015-01-15,valle,cali (ct),jueves,08:30:00,bretana e9,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-01-16,valle,cali (ct),viernes,21:30:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-16,valle,cali (ct),viernes,20:07:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-17,valle,cali (ct),sabado,13:00:00,santa monica residencial e2,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-01-17,valle,cali (ct),sabado,17:30:00,santa monica residencial e2,urbana,local comercial,arma de fuego,pasajero motocicleta,a pie,76001000
2015-01-17,valle,cali (ct),sabado,14:10:00,calima e4,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-01-20,valle,cali (ct),martes,12:00:00,el vergel e13,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
2015-01-20,valle,cali (ct),martes,12:15:00,san juan bosco e3,urbana,vias publicas,sin empleo de armas,a pie,a pie,76001000
2015-01-21,valle,cali (ct),miercoles,15:00:00,el lido e19,urbana,consultorios medicos,sin empleo de armas,a pie,a pie,76001000
2015-01-21,valle,cali (ct),miercoles,17:00:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-22,valle,cali (ct),jueves,08:00:00,centenario e2,urbana,oficinas,contundentes,a pie,a pie,76001000
2015-01-22,valle,cali (ct),jueves,21:30:00,el sena e5,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-01-22,valle,cali (ct),jueves,12:20:00,san pedro e3,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-01-22,valle,cali (ct),jueves,15:40:00,mojica e15,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,76001000
2015-01-23,valle,cali (ct),viernes,15:00:00,cuarteles de napoles e18,urbana,instalaciones del ejercito,sin empleo de armas,a pie,a pie,76001000
2015-01-23,valle,cali (ct),viernes,19:00:00,san joaquin e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-01-23,valle,cali (ct),viernes,21:00:00,chipichape e2,urbana,centro comercial,contundentes,a pie,a pie,76001000
