fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane,clase,marca,linea,modelo,color
2013-01-01,valle,cali (ct),martes,20:30:00,ciudad cordoba e15,urbana,vias publicas,llave maestra,a pie,a pie,35,masculino,union libre,colombia,independiente,,secundaria,76001000,motocicleta,suzuki,ax 100 sport,2008,azul
2013-01-01,valle,cali (ct),martes,05:00:00,,urbana,,llave maestra,a pie,a pie,24,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,akt,ak 125 nkd,2011,negro
2013-01-01,valle,cali (ct),martes,23:10:00,,urbana,vias publicas,arma de fuego,conductor motocicleta,conductor motocicleta,33,femenino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,honda,c 100 wave,2009,no reportado
2013-01-02,valle,cali (ct),miercoles,19:30:00,la base e8,urbana,vias publicas,arma de fuego,a pie,conductor motocicleta,28,masculino,soltero,colombia,empleado particular,,tecnico,76001000,motocicleta,honda,cb 110,2013,verde
2013-01-02,valle,cali (ct),miercoles,21:30:00,sector puente del comercio e6,urbana,,llave maestra,a pie,a pie,23,masculino,soltero,colombia,comerciante,,superior,76001000,motocicleta,suzuki,viva 115,2003,azul
2013-01-02,valle,cali (ct),miercoles,13:00:00,el limonar e17,urbana,bahia,llave maestra,a pie,a pie,27,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,honda,sin linea,2004,azul
2013-01-02,valle,cali (ct),miercoles,19:15:00,calima e4,urbana,vias publicas,llave maestra,a pie,a pie,36,femenino,casado,colombia,independiente,,secundaria,76001000,motocicleta,honda,eco deluxe,2008,negro
2013-01-02,valle,cali (ct),miercoles,01:30:00,ulpiano lloreda e13,urbana,,llave maestra,a pie,a pie,22,masculino,soltero,colombia,empleado particular,,secundaria,76001000,motocicleta,yamaha,,1997,violeta
2013-01-02,valle,cali (ct),miercoles,06:40:00,el jardin e11,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,35,masculino,soltero,colombia,independiente,,secundaria,76001000,motocicleta,shineray,,2004,rojo
2013-01-02,valle,cali (ct),miercoles,09:55:00,manuela beltran e14,urbana,,llave maestra,a pie,a pie,23,masculino,union libre,colombia,independiente,,primaria,76001000,motocicleta,akt,ak 100,2007,negro
