fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-01-01,valle,cali (ct),jueves,00:00:00,alirio mora beltran e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,54.0,femenino,soltero,colombia,empleado particular,,primaria,
2015-01-01,valle,cali (ct),jueves,00:00:00,bosques del limonar e17,urbana,vias publicas,sin empleo de armas,a pie,a pie,80.0,femenino,soltero,colombia,desempleado,,primaria,
2015-01-01,valle,cali (ct),jueves,00:00:00,san judas tadeo i e10,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,45.0,masculino,union libre,colombia,comerciante,,secundaria,
2015-01-01,valle,cali (ct),jueves,15:00:00,miraflores e19,urbana,vias publicas,sin empleo de armas,a pie,a pie,46.0,femenino,soltero,colombia,empleado particular,,secundaria,
2015-01-01,valle,cali (ct),jueves,14:00:00,manuela beltran e14,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,19.0,masculino,soltero,colombia,desempleado,,secundaria,
2015-01-01,valle,cali (ct),jueves,16:00:00,pizamos i e21,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,57.0,femenino,soltero,colombia,independiente,,primaria,
2015-01-01,valle,cali (ct),jueves,20:00:00,el retiro e15,urbana,local comercial,contundentes,a pie,a pie,44.0,masculino,casado,colombia,empleado particular,,secundaria,
2015-01-01,valle,cali (ct),jueves,08:00:00,marroquin i e14,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,45.0,femenino,union libre,colombia,empleado particular,,primaria,
2015-01-01,valle,cali (ct),jueves,08:00:00,villacolombia e8,urbana,oficinas,sin empleo de armas,a pie,a pie,30.0,masculino,soltero,colombia,empleado particular,,secundaria,
2015-01-01,valle,cali (ct),jueves,06:00:00,villanueva e12,urbana,vias publicas,sin empleo de armas,a pie,a pie,68.0,masculino,union libre,colombia,empleado particular,,primaria,
2015-01-01,valle,cali (ct),jueves,04:00:00,melendez e18,urbana,vias publicas,sin empleo de armas,a pie,a pie,33.0,femenino,divorciado,colombia,ama de casa,,primaria,
2015-01-01,valle,cali (ct),jueves,09:45:00,puertas del sol e14,urbana,vias publicas,contundentes,a pie,a pie,36.0,masculino,soltero,colombia,independiente,,primaria,
2015-01-01,valle,cali (ct),jueves,00:01:00,belisario caicedo e20,urbana,,contundentes,a pie,a pie,52.0,femenino,casado,colombia,empleado particular,arquitectura y urbanismo,superior,
2015-01-02,valle,cali (ct),viernes,00:00:00,el gran limonar e17,urbana,centro comercial,sin empleo de armas,a pie,a pie,30.0,femenino,soltero,colombia,empleado particular,,superior,
2015-01-02,valle,cali (ct),viernes,00:00:00,granada e2,urbana,tienda,sin empleo de armas,a pie,a pie,50.0,femenino,divorciado,colombia,independiente,,primaria,
2015-01-02,valle,cali (ct),viernes,00:00:00,lili e17,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,36.0,masculino,casado,colombia,independiente,,secundaria,
2015-01-02,valle,cali (ct),viernes,00:00:00,normandia e2,urbana,"hoteles, residencias, y similares.",sin empleo de armas,a pie,a pie,24.0,femenino,soltero,estados unidos,estudiante,,superior,
2015-01-02,valle,cali (ct),viernes,16:00:00,la base e8,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,27.0,femenino,casado,colombia,empleado particular,tecnico empresarial,tecnico,
2015-01-02,valle,cali (ct),viernes,09:00:00,calimio desepaz e21,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,24.0,femenino,union libre,colombia,empleado particular,,secundaria,
2015-01-02,valle,cali (ct),viernes,18:00:00,,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,54.0,femenino,union libre,colombia,ama de casa,,primaria,
2015-01-02,valle,cali (ct),viernes,18:00:00,san pedro e3,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,30.0,masculino,soltero,australia,empleado particular,ciencias politicas,superior,
