fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-01,valle,cali (ct),viernes,00:00:00,santa monica popular e8,urbana,casas de habitacion,cortantes,a pie,a pie,73,masculino,viudo,colombia,pensionado,no reportado,primaria,76001000
2010-01-01,valle,cali (ct),viernes,03:55:00,pance e22,urbana,casas de habitacion,cortantes,a pie,a pie,52,masculino,casado,no reportado,independiente,no reportado,superior,76001000
2010-01-01,valle,cali (ct),viernes,06:00:00,brisas de mayo e20,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,29,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-02,valle,cali (ct),sabado,02:00:00,republica israel e16,urbana,dentro de la vivienda,contundentes,a pie,a pie,46,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-02,valle,cali (ct),sabado,09:00:00,santa monica residencial e2,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,29,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2010-01-02,valle,cali (ct),sabado,10:30:00,el limonar e17,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,31,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2010-01-02,valle,cali (ct),sabado,19:00:00,ciudad 2000 e16,urbana,casas de habitacion,contundentes,a pie,a pie,28,masculino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-02,valle,cali (ct),sabado,23:00:00,san pedro e3,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,48,masculino,casado,colombia,comerciante,no reportado,secundaria,76001000
2010-01-03,valle,cali (ct),domingo,01:00:00,pance e22,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,38,masculino,casado,colombia,empleado particular,ingeniero electrico,superior,76001000
2010-01-03,valle,cali (ct),domingo,07:00:00,caney e17,urbana,casas de habitacion,contundentes,a pie,a pie,54,femenino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-03,valle,cali (ct),domingo,08:39:00,el ingenio e17,urbana,dentro de la vivienda,cortantes,a pie,a pie,26,masculino,soltero,no reportado,estudiante,no reportado,superior,76001000
2010-01-03,valle,cali (ct),domingo,15:30:00,pampa linda e19,urbana,dentro de la vivienda,cortantes,a pie,a pie,49,masculino,casado,colombia,empleado salud,no reportado,superior,76001000
2010-01-03,valle,cali (ct),domingo,16:00:00,,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,femenino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2010-01-03,valle,cali (ct),domingo,17:00:00,seminario e19,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-04,valle,cali (ct),lunes,08:00:00,melendez e18,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,35,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2010-01-04,valle,cali (ct),lunes,08:00:00,siloe e20,urbana,casas de habitacion,contundentes,a pie,a pie,47,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-04,valle,cali (ct),lunes,11:00:00,la independencia e11,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,41,masculino,soltero,colombia,independiente,agronomo,superior,76001000
2010-01-04,valle,cali (ct),lunes,14:00:00,la base,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,33,femenino,soltero,colombia,empleado particular,no reportado,superior,76001000
2010-01-04,valle,cali (ct),lunes,15:00:00,inv. brisas del cauca e21,urbana,dentro de la vivienda,cortantes,a pie,a pie,30,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
2010-01-04,valle,cali (ct),lunes,16:15:00,pampa linda e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,50,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2010-01-05,valle,cali (ct),martes,00:00:00,departamental e10,urbana,casas de habitacion,cortantes,a pie,a pie,48,femenino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-05,valle,cali (ct),martes,19:28:00,departamental e10,urbana,casas de habitacion,arma de fuego,vehiculo,a pie,40,masculino,casado,colombia,empleado publico,no reportado,superior,76001000
2010-01-05,valle,cali (ct),martes,19:30:00,bella  suiza e19,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,61,masculino,soltero,colombia,empleado particular,comunicador socialno reportadoperiodista,superior,76001000
2010-01-05,valle,cali (ct),martes,19:30:00,manuela beltran e14,urbana,casas de habitacion,cortantes,a pie,a pie,39,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2010-01-05,valle,cali (ct),martes,20:00:00,pasoancho e10,urbana,dentro de la vivienda,cortantes,a pie,a pie,19,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2010-01-06,valle,cali (ct),miercoles,00:00:00,el ingenio e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,40,masculino,casado,colombia,independiente,abogado,superior,76001000
2010-01-06,valle,cali (ct),miercoles,01:00:00,lleras camargo e20,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,41,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-06,valle,cali (ct),miercoles,10:00:00,los andes e5,urbana,dentro de la vivienda,contundentes,a pie,a pie,48,masculino,soltero,colombia,empleado publico,no reportado,superior,76001000
2010-01-06,valle,cali (ct),miercoles,19:00:00,metropolitano del norte e5,urbana,apartamento,contundentes,a pie,a pie,34,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-06,valle,cali (ct),miercoles,20:30:00,ciudad talanga e21,urbana,casas de habitacion,arma de fuego,a pie,a pie,38,masculino,union libre,colombia,comerciante,no reportado,secundaria,76001000
2010-01-07,valle,cali (ct),jueves,12:30:00,manuela beltran e14,urbana,casas de habitacion,cortantes,a pie,a pie,27,femenino,casado,colombia,ama de casa,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,01:30:00,el lido e19,urbana,casas de habitacion,cortantes,a pie,a pie,25,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,03:00:00,santa rosa e3,urbana,casas de habitacion,cortantes,a pie,a pie,38,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,06:00:00,normandia e2,urbana,casas de habitacion,cortantes,a pie,a pie,51,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,09:00:00,obrero e9,urbana,dentro de la vivienda,cortantes,a pie,a pie,64,masculino,divorciado,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,10:00:00,los andes e5,urbana,casas de habitacion,cortantes,a pie,a pie,33,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-08,valle,cali (ct),viernes,20:00:00,inv. nueva ilusion e13,urbana,casas de habitacion,cortantes,a pie,a pie,33,femenino,union libre,no reportado,ama de casa,no reportado,primaria,76001000
2010-01-09,valle,cali (ct),sabado,00:00:00,alameda e9,urbana,dentro de la vivienda,cortantes,a pie,a pie,24,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2010-01-09,valle,cali (ct),sabado,10:00:00,nueva granada e19,urbana,casas de habitacion,cortantes,a pie,a pie,56,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
