fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2018-01-01,valle,cali (ct),lunes,10:00:00,nueva tequendama e19,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,82,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2018-01-01,valle,cali (ct),lunes,03:00:00,san fernando viejo e19,urbana,casas de habitacion,escopolamina,conductor taxi,a pie,53,masculino,soltero,colombia,independiente,tecnico empresarial,tecnico,76001000
2018-01-01,valle,cali (ct),lunes,08:00:00,departamental e10,urbana,casas de habitacion,contundentes,a pie,a pie,81,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-01,valle,cali (ct),lunes,13:00:00,la hacienda e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,29,femenino,union libre,colombia,ama de casa,,secundaria,76001000
2018-01-01,valle,cali (ct),lunes,03:30:00,santa anita e17,urbana,casas de habitacion,contundentes,a pie,a pie,62,femenino,casado,colombia,independiente,,secundaria,76001000
2018-01-01,valle,cali (ct),lunes,21:55:00,urbanizacion la merced e2,urbana,casas de habitacion,llave maestra,a pie,a pie,51,masculino,casado,colombia,independiente,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,03:00:00,san juan bosco e3,urbana,casas de habitacion,contundentes,a pie,a pie,69,femenino,union libre,colombia,independiente,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,02:00:00,sector melendez e18,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,33,femenino,union libre,colombia,empleado particular,administracion  de empresas,superior,76001000
2018-01-02,valle,cali (ct),martes,08:00:00,calimio desepaz e21,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,70,masculino,casado,colombia,independiente,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,19:00:00,los guaduales e6,urbana,casas de habitacion,llave maestra,a pie,a pie,33,femenino,soltero,colombia,independiente,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,12:00:00,nueva granada e19,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,54,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-02,valle,cali (ct),martes,14:40:00,la rivera i e6,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,66,femenino,soltero,colombia,independiente,no reportada,secundaria,76001000
2018-01-02,valle,cali (ct),martes,05:55:00,cgto golondrinas e1,rural,casas de habitacion,sin empleo de armas,a pie,a pie,31,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-03,valle,cali (ct),miercoles,03:00:00,parcelaciones pance e22,urbana,casas de habitacion,contundentes,a pie,a pie,34,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2018-01-03,valle,cali (ct),miercoles,19:00:00,el bosque e2,urbana,casas de habitacion,contundentes,a pie,a pie,52,femenino,divorciado,colombia,empleado particular,,secundaria,76001000
2018-01-03,valle,cali (ct),miercoles,09:00:00,cgto la buitrera e18,rural,casas de habitacion,arma blanca / cortopunzante,a pie,a pie,24,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2018-01-03,valle,cali (ct),miercoles,07:00:00,nueva granada e19,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,42,femenino,separado,colombia,empleado inpec,tecnico empresarial,tecnico,76001000
2018-01-03,valle,cali (ct),miercoles,21:30:00,vallado e15,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,84,femenino,soltero,colombia,ama de casa,,secundaria,76001000
2018-01-04,valle,cali (ct),jueves,10:00:00,ciudad cordoba e15,urbana,casas de habitacion,contundentes,a pie,a pie,16,masculino,soltero,colombia,empleado particular,,primaria,76001000
2018-01-04,valle,cali (ct),jueves,10:00:00,republica israel e16,urbana,apartamento,palancas,a pie,a pie,38,femenino,union libre,colombia,independiente,,secundaria,76001000
2018-01-04,valle,cali (ct),jueves,02:00:00,desepaz invicali e21,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,47,femenino,union libre,colombia,independiente,,secundaria,76001000
2018-01-04,valle,cali (ct),jueves,08:00:00,lili e17,urbana,apartamento,contundentes,a pie,a pie,32,masculino,casado,colombia,independiente,ingenieria de sistemas,superior,76001000
2018-01-04,valle,cali (ct),jueves,11:00:00,la nueva base e8,urbana,casas de habitacion,arma de fuego,a pie,a pie,42,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2018-01-04,valle,cali (ct),jueves,09:00:00,manzanares e4,urbana,casas de habitacion,palancas,a pie,a pie,43,femenino,soltero,colombia,empleado particular,,secundaria,76001000
