fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2011-01-01,valle,cali (ct),sabado,00:00:00,potrero grande e21,urbana,vias publicas,arma de fuego,a pie,a pie,32,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,00:00:00,primavera e11,urbana,dentro de la vivienda,contundentes,a pie,a pie,21,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,00:00:00,ulpiano lloreda e13,urbana,vias publicas,contundentes,a pie,a pie,26,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,00:40:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,01:00:00,ciudadela floralia e6,urbana,vias publicas,arma blanca,a pie,a pie,40,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,01:00:00,san marino e7,urbana,vias publicas,contundentes,a pie,a pie,31,femenino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,02:00:00,julio rincon e12,urbana,vias publicas,arma blanca,a pie,a pie,16,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,02:00:00,lleras camargo e20,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,02:00:00,menga e2,urbana,dentro de la vivienda,contundentes,a pie,a pie,22,femenino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,02:30:00,diamante e13,urbana,vias publicas,contundentes,a pie,a pie,29,masculino,casado,colombia,empleado policial,policia,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,02:40:00,republica israel e16,urbana,vias publicas,arma blanca,a pie,a pie,16,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,03:00:00,el sena e5,urbana,vias publicas,contundentes,a pie,a pie,18,femenino,soltero,colombia,estudiante,no reportado,superior,76001000
2011-01-01,valle,cali (ct),sabado,03:00:00,jose m. marroquin ii e14,urbana,,arma de fuego,a pie,a pie,57,masculino,union libre,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,03:00:00,terron colorado e1,urbana,vias publicas,contundentes,a pie,a pie,21,masculino,soltero,colombia,empleado policial,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,03:25:00,inv. la florida e13,urbana,vias publicas,arma de fuego,a pie,a pie,16,masculino,soltero,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,03:30:00,diamante e13,urbana,dentro de la vivienda,contundentes,a pie,a pie,43,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,04:00:00,alfonso lopez iii e7,urbana,casas de habitacion,contundentes,a pie,a pie,24,femenino,separado,colombia,empleado publico,no reportado,superior,76001000
2011-01-01,valle,cali (ct),sabado,04:00:00,el retiro e15,urbana,vias publicas,contundentes,a pie,conductor motocicleta,23,masculino,soltero,colombia,empleado policial,policia,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,04:00:00,el retiro e15,urbana,vias publicas,contundentes,a pie,conductor motocicleta,34,masculino,casado,colombia,empleado policial,policia,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,04:30:00,el cortijo e20,urbana,casas de habitacion,contundentes,a pie,a pie,23,femenino,soltero,colombia,empleado publico,licenciado,superior,76001000
2011-01-01,valle,cali (ct),sabado,04:30:00,nueva floresta e12,urbana,vias publicas,arma blanca,a pie,a pie,26,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,04:30:00,sucre e9,urbana,vias publicas,contundentes,a pie,a pie,25,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,05:00:00,alfonso b. aragon e14,urbana,dentro de la vivienda,contundentes,a pie,a pie,21,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,05:00:00,jose m. marroquin ii e14,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,42,masculino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,05:30:00,arboledas e2,urbana,vias publicas,arma blanca,a pie,a pie,29,masculino,union libre,no reportado,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,05:45:00,paz e13,urbana,vias publicas,contundentes,a pie,a pie,33,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,05:55:00,petecuy ii e6,urbana,vias publicas,arma de fuego,a pie,a pie,15,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,06:00:00,bretana e9,urbana,vias publicas,arma blanca,a pie,a pie,19,masculino,soltero,colombia,estudiante,no reportado,tecnico,76001000
2011-01-01,valle,cali (ct),sabado,06:00:00,el cedro e19,urbana,vias publicas,contundentes,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,06:00:00,los conquistadores e11,urbana,casas de habitacion,arma de fuego,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,07:00:00,alfonso lopez iii e7,urbana,vias publicas,contundentes,a pie,a pie,31,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,07:00:00,andres sanin e7,urbana,vias publicas,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,07:00:00,mojica e15,urbana,vias publicas,arma de fuego,a pie,a pie,31,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,07:30:00,alfonso b. aragon e14,urbana,vias publicas,arma blanca,a pie,a pie,51,masculino,union libre,colombia,empleado particular,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,08:00:00,alfonso lopez i e7,urbana,vias publicas,contundentes,a pie,a pie,22,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,08:00:00,cgto montebello e1,urbana,,contundentes,a pie,a pie,20,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,08:00:00,el guabal e10,urbana,vias publicas,arma blanca,a pie,a pie,31,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,08:30:00,valle grande e21,urbana,,contundentes,a pie,a pie,42,masculino,union libre,colombia,independiente,no reportado,tecnico,76001000
2011-01-01,valle,cali (ct),sabado,09:00:00,alfonso lopez iii e7,urbana,vias publicas,contundentes,a pie,a pie,36,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
2011-01-01,valle,cali (ct),sabado,09:00:00,la base,urbana,vias publicas,contundentes,a pie,a pie,23,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-01-01,valle,cali (ct),sabado,10:00:00,el vergel e13,urbana,vias publicas,contundentes,a pie,a pie,31,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
