fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2019-01-01,valle,cali (ct),martes,20:00:00,la base e8,urbana,vias publicas,contundentes,a pie,a pie,37,femenino,union libre,colombia,empleado particular,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,20:00:00,valle grande e21,urbana,vias publicas,contundentes,a pie,a pie,23,femenino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,20:00:00,valle grande e21,urbana,vias publicas,contundentes,a pie,a pie,31,masculino,casado,colombia,empleado particular,no reportada,tecnico,76001000
2019-01-01,valle,cali (ct),martes,20:00:00,vista hermosa e1,urbana,vias publicas,contundentes,a pie,a pie,28,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,15:00:00,el troncal e8,urbana,vias publicas,contundentes,a pie,a pie,29,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,17:00:00,terron colorado e1,urbana,vias publicas,contundentes,a pie,a pie,33,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,19:30:00,20 de julio e11,urbana,vias publicas,contundentes,a pie,a pie,59,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,19:30:00,charco azul e13,urbana,vias publicas,contundentes,a pie,a pie,21,masculino,soltero,colombia,empleado particular,no reportada,tecnico,76001000
2019-01-01,valle,cali (ct),martes,19:30:00,charco azul e13,urbana,vias publicas,contundentes,a pie,a pie,23,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,16:00:00,el troncal e8,urbana,casas de habitacion,contundentes,a pie,a pie,42,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,16:00:00,el troncal e8,urbana,casas de habitacion,contundentes,a pie,a pie,60,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,16:00:00,llano verde e15,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,30,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,11:00:00,el cortijo e20,urbana,vias publicas,contundentes,a pie,a pie,53,femenino,soltero,colombia,ama de casa,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,11:00:00,la sultana e20,urbana,vias publicas,contundentes,a pie,a pie,52,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,09:00:00,antonio narino e16,urbana,establecimiento de comercio,contundentes,a pie,a pie,18,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,17:30:00,alfonso lopez iii e7,urbana,vias publicas,contundentes,a pie,a pie,35,femenino,union libre,colombia,empleado particular,no reportada,primaria,76001000
2019-01-01,valle,cali (ct),martes,17:30:00,manuela beltran e14,urbana,,arma blanca / cortopunzante,a pie,a pie,19,femenino,soltero,colombia,desempleado,,primaria,76001000
2019-01-01,valle,cali (ct),martes,17:30:00,manuela beltran e14,urbana,,arma blanca / cortopunzante,a pie,a pie,54,femenino,union libre,colombia,ama de casa,,primaria,76001000
2019-01-01,valle,cali (ct),martes,17:30:00,manuela beltran e14,urbana,,arma blanca / cortopunzante,a pie,a pie,58,masculino,soltero,colombia,empleado particular,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,14:00:00,santa elena e10,urbana,vias publicas,arma blanca / cortopunzante,a pie,a pie,49,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,03:00:00,los comuneros i e15,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,soltero,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,21:30:00,juanambu e2,urbana,vias publicas,contundentes,a pie,a pie,18,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,13:00:00,jose m. marroquin ii e14,urbana,interior vehiculo servicio publico,contundentes,a pie,a pie,39,masculino,union libre,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,13:00:00,potrero grande e21,urbana,vias publicas,contundentes,a pie,a pie,32,femenino,union libre,colombia,independiente,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,16:30:00,,urbana,parques,arma blanca / cortopunzante,a pie,a pie,51,femenino,soltero,colombia,ama de casa,,primaria,76001000
2019-01-01,valle,cali (ct),martes,01:00:00,morichal de comfandi e15,urbana,dentro de la vivienda,arma blanca / cortopunzante,a pie,a pie,34,masculino,union libre,colombia,empleado particular,,secundaria,76001000
2019-01-01,valle,cali (ct),martes,02:00:00,alfonso lopez i e7,urbana,vias publicas,contundentes,a pie,a pie,43,masculino,soltero,colombia,empleado particular,no reportada,tecnico,76001000
2019-01-01,valle,cali (ct),martes,02:00:00,san vicente e2,urbana,vias publicas,contundentes,a pie,a pie,28,femenino,soltero,colombia,independiente,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,10:30:00,el cortijo e20,urbana,vias publicas,contundentes,a pie,a pie,42,femenino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,10:30:00,el cortijo e20,urbana,vias publicas,contundentes,a pie,a pie,60,masculino,soltero,colombia,independiente,no reportada,primaria,76001000
2019-01-01,valle,cali (ct),martes,10:30:00,el cortijo e20,urbana,vias publicas,contundentes,a pie,a pie,60,femenino,soltero,colombia,ama de casa,no reportada,primaria,76001000
2019-01-01,valle,cali (ct),martes,10:30:00,petecuy i e6,urbana,vias publicas,contundentes,a pie,a pie,32,femenino,soltero,colombia,empleado particular,no reportada,superior,76001000
2019-01-01,valle,cali (ct),martes,07:00:00,antonio narino e16,urbana,vias publicas,contundentes,a pie,a pie,36,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,07:00:00,cgto castilla  e1,rural,carretera,contundentes,a pie,a pie,26,masculino,soltero,colombia,empleado particular,no reportada,primaria,76001000
2019-01-01,valle,cali (ct),martes,13:30:00,el troncal e8,urbana,vias publicas,contundentes,a pie,a pie,34,femenino,soltero,colombia,independiente,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,09:30:00,lleras camargo e20,urbana,vias publicas,contundentes,a pie,a pie,63,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
2019-01-01,valle,cali (ct),martes,04:00:00,antonio narino e16,urbana,vias publicas,contundentes,a pie,a pie,18,masculino,soltero,colombia,empleado particular,no reportada,secundaria,76001000
